pop_fit_avg,pop_fit_var,pop_fit_max,pop_fit_min,pop_opt_avg,pop_opt_var,pop_opt_max,pop_opt_min,pnt_fit_avg,pnt_fit_var,pnt_fit_max,pnt_fit_min,pnt_opt_avg,pnt_opt_var,pnt_opt_max,pnt_opt_min,gen,pop_uni_obj,com_sol_cnt,ele_agg_per,ele_opt_cnt,com_agg_per,com_opt_cnt,opt_agg_per,opt_obj_cnt,los_div,sel_pre,sel_var
19.0574,26.2393,36.2999,6.37987,0,0,0,0,19.0574,26.2393,36.2999,6.37987,0,0,0,0,75,0,1,36.2999,0,36.2999,0,36.2999,0,1,-1.35397e-16,1
19.321,26.5777,36.2999,6.37987,0,0,0,0,19.321,26.5777,36.2999,6.37987,0,0,0,0,76,0,1,36.2999,0,36.2999,0,36.2999,0,1,0,1
19.5579,26.834,36.2999,6.37987,0,0,0,0,19.5579,26.834,36.2999,6.37987,0,0,0,0,77,0,1,36.2999,0,36.2999,0,36.2999,0,1,-1.32396e-16,1
19.7595,27.0939,36.2999,7.33581,0,0,0,0,19.7595,27.0939,36.2999,7.33581,0,0,0,0,78,0,1,36.2999,0,36.2999,0,36.2999,0,1,-2.62252e-16,1
19.9299,27.5866,37.3334,7.33581,0,0,0,0,19.9299,27.5866,37.3334,7.33581,0,0,0,0,79,0,1,37.3334,0,36.2999,0,36.2999,0,1,0,1
20.2018,27.7993,37.3334,7.33581,0,0,0,0,20.2018,27.7993,37.3334,7.33581,0,0,0,0,80,0,1,37.3334,0,37.3334,0,37.3334,0,1,0,1
20.4161,28.1336,37.3334,7.33581,0,0,0,0,20.4161,28.1336,37.3334,7.33581,0,0,0,0,81,0,1,37.3334,0,37.3334,0,37.3334,0,1,3.78841e-16,1
20.7182,28.3329,37.3334,7.33581,0,0,0,0,20.7182,28.3329,37.3334,7.33581,0,0,0,0,82,0,1,37.3334,0,37.3334,0,37.3334,0,1,-3.76175e-16,1
20.9649,29.3164,38.2274,7.33581,0,0,0,0,20.9649,29.3164,38.2274,7.33581,0,0,0,0,83,0,1,38.2274,0,37.3334,0,37.3334,0,1,2.4237e-16,1
21.1746,29.7563,38.2274,7.33581,0,0,0,0,21.1746,29.7563,38.2274,7.33581,0,0,0,0,84,0,1,38.2274,0,38.2274,0,38.2274,0,1,0,1
21.3788,29.8163,38.2274,7.32598,0,0,0,0,21.3788,29.8163,38.2274,7.32598,0,0,0,0,85,0,1,38.2274,0,38.2274,0,38.2274,0,1,-1.19153e-16,1
21.6669,29.8963,39.0462,8.84206,0,0,0,0,21.6669,29.8963,39.0462,8.84206,0,0,0,0,86,0,1,39.0462,0,39.0462,0,39.0462,0,1,1.18834e-16,1
21.939,29.8518,38.9133,9.4851,0,0,0,0,21.939,29.8518,38.9133,9.4851,0,0,0,0,87,0,1,38.9133,0,38.9133,0,38.9133,0,1,3.57036e-16,1
